,Makespan,Mean Flow Time,Mean Weighted Tardiness,Max Weighted Tardiness,Mean WIP
0,3481.644918,257.7620183,972.6076053,2663.532677,128.373341
1,3480.119398,258.2957063,975.2572008,2686.673495,128.5485736
2,3481.652703,264.3687454,1019.213506,2675.201524,131.1310206
3,3482.116314,264.0059091,1016.19919,2671.946867,130.7954007
4,3481.652703,264.3687454,1019.213506,2675.201524,131.1310206
5,3482.116314,264.0059091,1016.19919,2671.946867,130.7954007
6,3481.652703,264.3687454,1019.213506,2675.201524,131.1310206
7,3482.116314,264.0059091,1016.19919,2671.946867,130.7954007
8,3481.652703,264.3687454,1019.213506,2675.201524,131.1310206
9,3482.116314,264.0059091,1016.19919,2671.946867,130.7954007
10,5456.261838,260.556423,667.3677012,8036.294385,132.7205866
11,5472.875936,259.9415737,665.2542009,7991.829475,132.7555402
12,5468.063316,260.9916622,665.9824819,8057.385762,133.2846708
13,5457.536107,262.3503222,670.1048877,8034.679502,133.2549967
14,5468.063316,260.9916622,665.9824819,8057.385762,133.2846708
15,5457.536107,262.3503222,670.1048877,8034.679502,133.2549967
16,5468.063316,260.9916622,665.9824819,8057.385762,133.2846708
17,5457.536107,262.3503222,670.1048877,8034.679502,133.2549967
18,5468.063316,260.9916622,665.9824819,8057.385762,133.2846708
19,5457.536107,262.3503222,670.1048877,8034.679502,133.2549967
20,5348.444023,258.6088546,658.5992807,7622.532378,131.5034838
21,5400.19883,255.7021068,648.9787033,7744.672789,131.2138125
22,5333.164757,254.2619405,641.0484142,7566.382586,130.2011524
23,5414.33951,256.3281755,647.8270225,7748.386969,131.7588502
24,5333.164757,254.2619405,641.0484142,7566.382586,130.2011524
25,5414.33951,256.3281755,647.8270225,7748.386969,131.7588502
26,5333.164757,254.2619405,641.0484142,7566.382586,130.2011524
27,5414.33951,256.3281755,647.8270225,7748.386969,131.7588502
28,5333.164757,254.2619405,641.0484142,7566.382586,130.2011524
29,5414.33951,256.3281755,647.8270225,7748.386969,131.7588502
30,5094.497425,239.9074205,598.1785071,6765.062824,123.5848553
31,5048.261162,237.5702473,590.8433305,6594.692437,122.1994094
32,4900.107307,226.4758854,549.9401505,6030.808987,117.3216298
33,4947.428514,230.1849157,562.4092084,6248.454315,119.14719
34,4900.107307,226.4758854,549.9401505,6030.808987,117.3216298
