,Makespan,Mean Flow Time,Mean Weighted Tardiness,Max Weighted Tardiness,Mean WIP
0,23234.04502933153,5961.902690786086,26965.0553064389,74778.69036579713,629.5041355623179
1,23312.232466516398,5971.102076760542,27003.904127753904,75352.20420999952,630.7911301053451
2,23089.06935311069,5977.566676057109,27053.37947715203,74519.28986124341,628.6456006771621
3,23117.581512346973,5989.679171491249,27125.19633598746,74455.39327025291,628.1976853886977
4,23089.06935311069,5977.566676057109,27053.37947715203,74519.28986124341,628.6456006771621
5,23117.581512346973,5989.679171491249,27125.19633598746,74455.39327025291,628.1976853886977
6,23089.06935311069,5977.566676057109,27053.37947715203,74519.28986124341,628.6456006771621
7,23117.581512346973,5989.679171491249,27125.19633598746,74455.39327025291,628.1976853886977
8,23089.06935311069,5977.566676057109,27053.37947715203,74519.28986124341,628.6456006771621
9,23117.581512346973,5989.679171491249,27125.19633598746,74455.39327025291,628.1976853886977
10,100000.0,9470.03836096007,9286.933855226132,1034629.2168665914,1000.0
11,100000.0,9477.309367784237,9285.137095285754,1319984.2465346847,1000.0
12,100000.0,9850.986584264716,9268.500377146442,1304578.730493884,1000.0
13,100000.0,9719.506243726293,9275.912411530408,1276148.6672362806,1000.0
14,100000.0,9850.986584264716,9268.500377146442,1304578.730493884,1000.0
15,100000.0,9719.506243726293,9275.912411530408,1276148.6672362806,1000.0
16,100000.0,9850.986584264716,9268.500377146442,1304578.730493884,1000.0
17,100000.0,9719.506243726293,9275.912411530408,1276148.6672362806,1000.0
18,100000.0,9850.986584264716,9268.500377146442,1304578.730493884,1000.0
19,100000.0,9719.506243726293,9275.912411530408,1276148.6672362806,1000.0
20,100000.0,9465.026223324525,9302.92423199424,1115552.098824252,1000.0
21,100000.0,9459.860620526835,9315.52431102576,1173133.0413481188,1000.0
22,100000.0,9361.740858845551,9310.589716721432,867220.3892051659,1000.0
23,100000.0,9362.344077899868,9313.133700111484,977896.1604828092,1000.0
24,100000.0,9361.740858845551,9310.589716721432,867220.3892051659,1000.0
25,100000.0,9362.344077899868,9313.133700111484,977896.1604828092,1000.0
26,100000.0,9361.740858845551,9310.589716721432,867220.3892051659,1000.0
27,100000.0,9362.344077899868,9313.133700111484,977896.1604828092,1000.0
28,100000.0,9361.740858845551,9310.589716721432,867220.3892051659,1000.0
29,100000.0,9362.344077899868,9313.133700111484,977896.1604828092,1000.0
30,63300.881506990176,8153.030631057234,14955.849222891924,82038.62128741786,1047.6479365713863
31,64085.690040737114,8127.367044198654,14903.126008875068,82839.2618931077,1056.01742850621
32,62823.02809949523,8059.298102323058,14710.692614707785,80902.53915591742,1031.1641428448065
33,62375.92078994048,8020.187192403653,14626.8502357122,80303.40733718306,1023.0092880565375
34,62823.02809949523,8059.298102323058,14710.692614707785,80902.53915591742,1031.1641428448065
35,62375.92078994048,8020.187192403653,14626.8502357122,80303.40733718306,1023.0092880565375
36,62823.02809949523,8059.298102323058,14710.692614707785,80902.53915591742,1031.1641428448065
37,62375.92078994048,8020.187192403653,14626.8502357122,80303.40733718306,1023.0092880565375
38,62823.02809949523,8059.298102323058,14710.692614707785,80902.53915591742,1031.1641428448065
39,62375.92078994048,8020.187192403653,14626.8502357122,80303.40733718306,1023.0092880565375
40,63309.01026885549,8223.09204615195,15310.60857266829,81659.8878659373,1062.3122956464317
41,63194.32336270303,8200.699034594902,15257.127077038316,81646.7110671215,1058.1948358973225
42,62460.38003559315,8056.143824089364,14881.885463122157,80184.37154937693,1034.6326434381267
43,62289.48908663345,8096.653726003344,14996.888134420768,80207.3513144463,1036.0143747076727
44,62460.38003559315,8056.143824089364,14881.885463122157,80184.37154937693,1034.6326434381267
45,62289.48908663345,8096.653726003344,14996.888134420768,80207.3513144463,1036.0143747076727
46,62460.38003559315,8056.143824089364,14881.885463122157,80184.37154937693,1034.6326434381267
47,62289.48908663345,8096.653726003344,14996.888134420768,80207.3513144463,1036.0143747076727
48,62460.38003559315,8056.143824089364,14881.885463122157,80184.37154937693,1034.6326434381267
49,62289.48908663345,8096.653726003344,14996.888134420768,80207.3513144463,1036.0143747076727
50,55194.17607846288,6712.239995582213,17524.78451758685,68589.87759338538,1001.5799716329242
51,56729.8641567918,6718.197985598061,17494.67104801645,70854.9538019193,1023.1192161547799
52,56863.128388779456,6656.479515675999,17359.836894434255,71203.40969605217,1020.1065176244225
53,55974.556207047855,6688.9047068366535,17449.77260575618,69777.4096824766,1010.2926397156119
54,56863.128388779456,6656.479515675999,17359.836894434255,71203.40969605217,1020.1065176244225
55,55974.556207047855,6688.9047068366535,17449.77260575618,69777.4096824766,1010.2926397156119
56,56863.128388779456,6656.479515675999,17359.836894434255,71203.40969605217,1020.1065176244225
57,55974.556207047855,6688.9047068366535,17449.77260575618,69777.4096824766,1010.2926397156119
58,56863.128388779456,6656.479515675999,17359.836894434255,71203.40969605217,1020.1065176244225
59,55974.556207047855,6688.9047068366535,17449.77260575618,69777.4096824766,1010.2926397156119
60,38092.237693451796,5972.975627883588,15837.339565277545,39029.991967490794,790.56365053862
61,37520.51569512175,5925.737517780761,15671.190864684831,37913.041318337964,778.7912209728269
62,37820.96436780096,5943.4431858595235,15728.77041467498,38731.87931824221,783.9640984239164
63,37669.355001694974,5938.791529014111,15722.46680755805,38139.65981256151,781.415541969845
64,37820.96436780096,5943.4431858595235,15728.77041467498,38731.87931824221,783.9640984239164
65,37669.355001694974,5938.791529014111,15722.46680755805,38139.65981256151,781.415541969845
66,37820.96436780096,5943.4431858595235,15728.77041467498,38731.87931824221,783.9640984239164
67,37669.355001694974,5938.791529014111,15722.46680755805,38139.65981256151,781.415541969845
68,37820.96436780096,5943.4431858595235,15728.77041467498,38731.87931824221,783.9640984239164
69,37669.355001694974,5938.791529014111,15722.46680755805,38139.65981256151,781.415541969845
70,100000.0,12768.508018289644,9151.53217120603,1377821.9609683151,1000.0
71,100000.0,12545.593831822527,9156.388882552536,1371016.4533244858,1000.0
72,100000.0,12851.393151976345,9142.718555041774,1364242.7106555402,1000.0
73,100000.0,12690.837809087277,9139.547358675138,1322298.8517001541,1000.0
74,100000.0,12851.393151976345,9142.718555041774,1364242.7106555402,1000.0
75,100000.0,12690.837809087277,9139.547358675138,1322298.8517001541,1000.0
76,100000.0,12851.393151976345,9142.718555041774,1364242.7106555402,1000.0
77,100000.0,12690.837809087277,9139.547358675138,1322298.8517001541,1000.0
78,100000.0,12851.393151976345,9142.718555041774,1364242.7106555402,1000.0
79,100000.0,12690.837809087277,9139.547358675138,1322298.8517001541,1000.0
80,100000.0,9664.578944710309,9289.490053297835,518066.0830074167,1000.0
81,100000.0,9722.502997149057,9288.87926304655,521918.47643163556,1000.0
82,100000.0,9666.086628527886,9293.06480241398,463176.89264617057,1000.0
83,100000.0,9658.160801561808,9292.173208835116,523362.5354559252,1000.0
84,100000.0,9666.086628527886,9293.06480241398,463176.89264617057,1000.0
85,100000.0,9658.160801561808,9292.173208835116,523362.5354559252,1000.0
86,100000.0,9666.086628527886,9293.06480241398,463176.89264617057,1000.0
87,100000.0,9658.160801561808,9292.173208835116,523362.5354559252,1000.0
88,100000.0,9666.086628527886,9293.06480241398,463176.89264617057,1000.0
89,100000.0,9658.160801561808,9292.173208835116,523362.5354559252,1000.0
90,100000.0,11462.887228077714,9304.265718624405,1650611.765166375,1000.0
91,100000.0,11567.33018543014,9293.249234774577,1730619.7006949768,1000.0
92,100000.0,11463.927589557075,9306.535290110627,1515533.1068346447,1000.0
93,100000.0,11343.980321409184,9312.202505776044,1572912.0375858382,1000.0
94,100000.0,11463.927589557075,9306.535290110627,1515533.1068346447,1000.0
95,100000.0,11343.980321409184,9312.202505776044,1572912.0375858382,1000.0
96,100000.0,11463.927589557075,9306.535290110627,1515533.1068346447,1000.0
97,100000.0,11343.980321409184,9312.202505776044,1572912.0375858382,1000.0
98,100000.0,11463.927589557075,9306.535290110627,1515533.1068346447,1000.0
99,100000.0,11343.980321409184,9312.202505776044,1572912.0375858382,1000.0
