,Makespan,Mean Flow Time,Mean Weighted Tardiness,Max Weighted Tardiness,Mean WIP
0,3355.6536628996146,178.1504347556812,391.7970877834444,2023.823482053704,98.47358328995145
1,1819.6704742042925,169.06772065963625,321.26014772865494,1849.6075719974124,195.64018246025506
2,4248.473838747741,552.2638014015924,2189.6972978261338,7111.394660298241,258.9687714766322
3,2264.7165183083316,335.60721651858813,1006.4196853490248,4306.783402798157,336.3201909682426
4,4237.231734582519,738.7474936455089,4835.0017788707855,9435.412319524145,360.8166579333305
5,2288.7722231437874,438.3499604186284,2453.153780309866,5683.523541012416,454.67607018643605
6,100000.0,9776.01020673522,10035.368077880135,171099.97685476535,2000.0
7,3327.3347873454577,922.7825611022674,4283.739134291392,12779.907986368544,811.1579917148497
8,23930.53313770314,1069.797106496643,1688.218113318178,12023.836161708025,86.24981511114524
9,13220.142965726776,1216.1940032400275,2310.5177446721323,16000.565420940202,202.3133442820847
10,30349.709778886318,3537.1510900743497,13366.115441944567,45515.146838010194,232.79208510396734
11,16629.665685451888,2417.185555430216,7272.790913844513,31876.798017497997,341.95390731152463
12,29338.580874508283,4081.2903572711775,24773.641510680576,50810.88669278695,273.30402119785845
13,15469.596076160262,2211.5871426462677,9930.633141275475,32772.23490037092,324.12279230015645
14,88562.2080144225,15748.532478628253,16370.450470140806,1100186.4730496982,1697.4542464617011
15,22890.542588775756,5014.255709414248,21697.530325275984,70087.68744481479,572.2162025216555
16,6861.790436391244,574.6119454755988,1697.067704647377,7757.265021151837,160.64345105695728
17,3551.105822608681,381.7385983405512,852.2469079569571,3622.0108259166313,224.04409649997828
18,6875.208062014001,432.3386479390544,1573.2172481100083,7961.057302123493,116.2983251157782
19,3646.3545470668855,318.5010779018727,675.2912610654442,4579.1607650826145,187.98896050474957
20,9328.325409178722,1374.3426924615594,5878.30847834177,20707.172435455737,337.14524037220514
21,4854.051518131979,911.5993784907954,4000.153231198522,10946.305292615632,460.2578154351554
22,9321.583045069188,1250.4032095251446,6600.880934565034,27825.273229698778,305.4647267011363
23,5352.31390074027,938.8730379258162,4235.652498546224,18018.68804945054,501.71652965650503
24,64955.653414841436,8751.707567297624,47290.214594164194,108308.44781736642,247.5796758943376
25,32947.528777908396,3135.171839565761,7714.211616208374,46303.29174946532,187.28779775608257
26,50261.780861121755,3503.5354083205298,13510.58017043295,67148.5521581342,130.25745414266842
27,27007.829378154292,2586.101658739969,6318.325842191991,40344.51737056075,209.6074056967224
28,103118.95137942891,31739.94120536003,195976.04389606667,419127.3434711194,853.2493263876224
29,49052.15497700276,9673.385072444085,41610.20411727125,180178.721607265,545.5997601800768
30,68284.91775784109,9269.270254379266,48873.998015043944,204714.21098445702,308.2847942360125
31,39700.86728865622,7080.396322317148,32405.557651340525,133583.076125891,512.6323337573403
